run_id,sample_id,barcode
april,BC01,BC01
april,BC02,BC02
april,BC03,BC03
april,BC04,BC04
april,BC05,BC05
april,BC06,BC06
april,BC07,BC07
april,BC08,BC08
april,BC09,BC09
april,BC10,BC10
april,BC11,BC11
april,BC12,BC12
june,BC01,BC01
june,BC02,BC02
june,BC03,BC03
june,BC04,BC04
june,BC05,BC05
june,BC06,BC06
june,BC07,BC07
june,BC08,BC08
june,BC09,BC09
june,BC10,BC10
june,BC11,BC11
june,BC12,BC12
august,BC01,BC01
august,BC02,BC02
august,BC03,BC03
august,BC04,BC04
august,BC05,BC05
august,BC06,BC06
august,BC07,BC07
august,BC08,BC08
august,BC09,BC09
august,BC10,BC10
august,BC11,BC11
august,BC12,BC12
loman,loman,