Tool	Time	Genus	abundance_observed	abundance_expected	
Minimap2 (12)	April	Pseudomonadaceae	1.78790106	5.283018868	
Minimap2 (12)	April	Enterobacteriaceae			
Minimap2 (12)	April	Lactobacillaceae	11.7315699	23.14465409	
Minimap2 (12)	April	Enterococcaceae	11.5846192	12.45283019	
Minimap2 (12)	April	Staphylococcaceae	24.2223855	19.49685535	
Minimap2 (12)	April	Listeriaceae	19.2505511	17.73584906	
Minimap2 (12)	April	Bacillaceae	31.4229733	21.88679245	
					
					
					
					
					
					
					
					
					
					
					
					
					
					